Unnamed: 0,Entity,Very important in life: Politics,Cantril ladder score,alcohol_consumption,Vrijheidsstatus,Vrijheidsscore (0-100)
0,Dominican Republic,15.58753,5.545,6.5,PF,68.0
1,El Salvador,16.98565,6.061,3.15,PF,56.0
2,Uganda,23.22473,4.636,11.3,NF,35.0
3,Tanzania,32.87788,3.623,10.95,PF,36.0
4,Saudi Arabia,25.56591,6.494,0.0,NF,8.0
5,Belgium,6.501069,6.834,9.43,F,96.0
6,Malta,11.87288,6.602,7.11,F,89.0
7,Moldova,5.649665,5.766,11.08,PF,62.0
8,Burkina Faso,17.58097,4.834,11.27,NF,30.0
9,Mali,21.89781,4.723,5.32,NF,29.0
10,Ireland,10.10618,7.085,10.77,F,97.0
11,Zambia,21.17568,4.073,3.62,PF,54.0
12,Luxembourg,9.662143,7.324,10.82,F,97.0
13,Qatar,29.15042,6.374,1.15,NF,25.0
14,Yemen,14.3,3.658,0.044,NF,9.0
15,Uzbekistan,16.26667,6.179,2.1,NF,12.0
16,Algeria,20.33333,4.887,0.54,NF,32.0
17,South Africa,21.41956,4.956,7.13,F,79.0
18,Trinidad and Tobago,15.61561,6.1919,6.06,F,82.0
19,Rwanda,21.0871,3.415,2.87,NF,23.0
20,Kuwait,31.23561,6.106,0.0,PF,37.0
21,Ghana,22.52539,5.088,4.26,F,80.0
22,Haiti,17.24311,3.615,3.11,NF,31.0
23,India,17.04267,3.819,4.1,PF,66.0
24,Armenia,12.75573,5.283,4.28,PF,54.0
25,Kyrgyzstan,14.03992,5.744,3.63,NF,27.0
26,Poland,7.85026,6.166,11.66,F,81.0
27,Georgia,13.02664,4.891,14.41,PF,58.0
28,Latvia,4.247163,6.032,12.87,F,88.0
29,Thailand,16.02826,5.985,7.99,NF,30.0
30,Australia,10.33786,7.183,10.29,F,95.0
31,Tajikistan,23.91667,5.466,0.74,NF,7.0
32,Libya,19.91632,5.41,0.012,NF,10.0
33,Tunisia,15.12114,4.596,1.71,PF,56.0
34,Lebanon,14.91667,4.584,1.26,PF,43.0
35,Jordan,18.62012,4.395,0.23,NF,33.0
36,Kenya,23.49206,4.607,2.47,PF,52.0
37,Iceland,10.8673,7.554,7.94,F,94.0
38,Vietnam,8.916666,5.411,8.04,NF,19.0
39,Indonesia,19.224,5.345,0.074,PF,58.0
40,Venezuela,9.579832,4.892,1.99,NF,15.0
41,Albania,5.375286,5.117,4.47,PF,67.0
42,Iran,22.61508,4.721,0.51,NF,12.0
43,Uruguay,16.34857,6.431,5.61,F,96.0
44,Iraq,17.58333,4.854,0.24,NF,29.0
45,Guatemala,16.68023,6.435,1.54,PF,49.0
46,United States,14.86577,6.951,9.9,F,83.0
47,Greece,10.31946,5.723,5.81,F,86.0
48,Italy,11.39515,6.483,6.97,F,90.0
49,United Kingdom,15.03719,7.064,10.73,F,93.0
50,Japan,15.0037,5.94,6.38,F,96.0
51,Germany,14.53412,7.155,11.84,F,94.0
52,Ukraine,7.876245,4.875,9.24,PF,50.0
53,Switzerland,9.830394,7.571,10.07,F,96.0
54,Argentina,7.527421,5.929,8.05,F,85.0
55,Kazakhstan,13.47962,6.152,4.52,NF,23.0
56,Turkey,20.91097,4.948,1.69,NF,32.0
57,Lithuania,5.552118,6.255,12.1,F,89.0
58,Maldives,3.68217,5.198,1.49,PF,41.0
59,Austria,11.3728,7.268,11.51,F,93.0
60,Nigeria,34.85246,4.759,3.78,PF,43.0
61,Serbia,6.145812,5.7782,7.89,PF,60.0
62,Bulgaria,11.92675,5.266,11.62,F,79.0
63,Denmark,8.220552,7.62,9.49,F,97.0
64,North Macedonia,10.48998,5.101,4.36,PF,68.0
65,Czechia,4.968174,6.965,11.99,,
66,Russia,11.06395,5.477,10.53,NF,16.0
67,Norway,13.96364,7.392,7.38,F,100.0
68,Cyprus,9.804559,6.223,6.36,F,92.0
69,Singapore,8.352848,6.377,1.81,PF,47.0
70,Canada,12.1565,7.103,9.89,F,98.0
71,Romania,10.17035,6.14,16.8,F,83.0
72,Peru,12.29561,5.84,6.45,PF,70.0
73,Chile,10.12897,6.172,7.56,F,94.0
74,Croatia,3.501479,5.882,7.65,F,84.0
75,Hungary,7.37226,5.992,9.93,PF,66.0
76,Philippines,39.24622,5.88,5.66,PF,58.0
77,Portugal,8.081975,5.929,8.88,F,96.0
78,Colombia,19.14474,6.012,4.24,F,70.0
79,China,15.13963,5.339,4.58,NF,9.0
80,Pakistan,19.89975,4.934,0.084,PF,37.0
81,Ecuador,16.88963,5.764,2.54,F,70.0
82,Brazil,16.50029,6.33,7.7,F,72.0
83,Nicaragua,18.75,5.972,3.67,NF,19.0
84,Sweden,20.8333,7.363,9.57,F,100.0
85,Malaysia,11.88119,5.384,0.74,PF,53.0
86,Azerbaijan,4.300631,5.171,2.49,NF,9.0
87,Spain,13.78508,6.491,9.16,F,90.0
88,Finland,6.308783,7.842,9.08,F,100.0
89,Bangladesh,5.416667,5.025,0.092,PF,40.0
90,Mexico,16.43988,6.317,4.79,PF,60.0
91,Ethiopia,9.837399,4.275,3.06,NF,21.0
92,South Korea,7.951807,5.845,7.79,F,83.0
93,Mongolia,12.57114,5.677,7.68,F,84.0
94,Estonia,4.266163,6.189,10.68,F,94.0
95,Belarus,10.91012,5.534,11.63,NF,8.0
96,Montenegro,12.55643,5.5461,10.34,PF,67.0
97,Morocco,17.83333,4.918,0.5,PF,37.0
98,Myanmar,30.5,4.426,1.93,NF,9.0
99,Bolivia,14.9492,5.716,3.59,PF,66.0
100,Egypt,8.166666,4.283,0.13,NF,18.0
101,Slovenia,3.617311,6.461,10.41,F,95.0
102,Netherlands,4.900155,7.464,8.71,F,97.0
103,Bosnia and Herzegovina,6.335009,5.813,5.87,PF,52.0
104,Slovakia,8.598923,6.331,10.67,F,90.0
105,New Zealand,9.365559,7.277,10.02,F,99.0
106,France,9.244078,6.69,10.32,F,89.0
107,Zimbabwe,24.36214,3.145,2.67,NF,28.0
